gene	COG_FUN	S59	S61	S62	S58	S60	S66	S65	S64	S69	S68	S67	S63	S53	S23	S31	S19	S32	S28	S33	S43	S4	S6	S24	S25	S27	S14	S54	S55	S41	S22	S50	S52	S29	S38	S16	S35	S34	S30	S7	S57	S39	S51	S3	S46	S45	S42	S17	S5	S20	S44	S48	S21	S36	S10	S47	S37	S1	S2	S49	S12	S13	S56	S40	S8	S9	S15	S11	S18	S26
acr3	P: Inorganic ion transport and metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ahpF	Unknown	2	0	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	0	2	0	0	2	2	2
aldehyde dehydrogenase	C: Energy production and conversion	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2
apxIB	V: Defense mechanisms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aroP	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsC	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
arsH	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
astC	Unknown	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	2	2	2	0	2	2	0	0	0	2	0	0	0	0	2	2	0	2	0	2	0	2	2	2	2	2	0	0	0	0	0	2	2	2	2	0	0	0	2	2	2	0	0	2	2	2	2	2	2
Baeyer-Villiger monooxygenase	P: Inorganic ion transport and metabolism	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0
betS	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
budC	R: General function prediction only	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	2	0	0	0	2	0	0	0	0	2	2	0	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2
