sample_id	group	Time	Probability of Survival
S65	Single copy of frmA	0	100
S65	Single copy of frmA	12	100
S65	Single copy of frmA	24	20
S65	Single copy of frmA	36	20
S65	Single copy of frmA	48	20
S65	Single copy of frmA	60	20
S65	Single copy of frmA	72	20
S64	Single copy of frmA	0	100
S64	Single copy of frmA	12	60
S64	Single copy of frmA	24	40
S64	Single copy of frmA	36	40
S64	Single copy of frmA	48	20
S64	Single copy of frmA	60	20
S64	Single copy of frmA	72	20
S63	Single copy of frmA	0	100
S63	Single copy of frmA	12	100
S63	Single copy of frmA	24	40
S63	Single copy of frmA	36	40
S63	Single copy of frmA	48	40
S63	Single copy of frmA	60	40
S63	Single copy of frmA	72	40
S66	Double copy of frmA	0	100
S66	Double copy of frmA	12	100
S66	Double copy of frmA	24	0
S66	Double copy of frmA	36	0
S66	Double copy of frmA	48	0
S66	Double copy of frmA	60	0
S66	Double copy of frmA	72	0
